,noFear_noChat_avg_fitness,noFear_noChat_cat_avg_fitness,noFear_noChat_hCAB_avg_fitness,noFear_noChat_count,noFear_noChat_keep,noFear_noChat_give,noFear_noChat_steal,noFear_chat_avg_fitness,noFear_chat_cat_avg_fitness,noFear_chat_hCAB_avg_fitness,noFear_chat_count,noFear_chat_keep,noFear_chat_give,noFear_chat_steal,fear_noChat_avg_fitness,fear_noChat_cat_avg_fitness,fear_noChat_hCAB_avg_fitness,fear_noChat_count,fear_noChat_keep,fear_noChat_give,fear_noChat_steal,fear_chat_avg_fitness,fear_chat_cat_avg_fitness,fear_chat_hCAB_avg_fitness,fear_chat_count,fear_chat_keep,fear_chat_give,fear_chat_steal,homogeneous_noFear_noChat_avg_fitness,homogeneous_noFear_noChat_cat_avg_fitness,homogeneous_noFear_noChat_hCAB_avg_fitness,homogeneous_noFear_noChat_count,homogeneous_noFear_noChat_keep,homogeneous_noFear_noChat_give,homogeneous_noFear_noChat_steal,homogeneous_noFear_chat_avg_fitness,homogeneous_noFear_chat_cat_avg_fitness,homogeneous_noFear_chat_hCAB_avg_fitness,homogeneous_noFear_chat_count,homogeneous_noFear_chat_keep,homogeneous_noFear_chat_give,homogeneous_noFear_chat_steal,homogeneous_fear_noChat_avg_fitness,homogeneous_fear_noChat_cat_avg_fitness,homogeneous_fear_noChat_hCAB_avg_fitness,homogeneous_fear_noChat_count,homogeneous_fear_noChat_keep,homogeneous_fear_noChat_give,homogeneous_fear_noChat_steal,homogeneous_fear_chat_avg_fitness,homogeneous_fear_chat_cat_avg_fitness,homogeneous_fear_chat_hCAB_avg_fitness,homogeneous_fear_chat_count,homogeneous_fear_chat_keep,homogeneous_fear_chat_give,homogeneous_fear_chat_steal,mixed_noFear_noChat_avg_fitness,mixed_noFear_noChat_cat_avg_fitness,mixed_noFear_noChat_hCAB_avg_fitness,mixed_noFear_noChat_count,mixed_noFear_noChat_keep,mixed_noFear_noChat_give,mixed_noFear_noChat_steal,mixed_noFear_chat_avg_fitness,mixed_noFear_chat_cat_avg_fitness,mixed_noFear_chat_hCAB_avg_fitness,mixed_noFear_chat_count,mixed_noFear_chat_keep,mixed_noFear_chat_give,mixed_noFear_chat_steal,mixed_fear_noChat_avg_fitness,mixed_fear_noChat_cat_avg_fitness,mixed_fear_noChat_hCAB_avg_fitness,mixed_fear_noChat_count,mixed_fear_noChat_keep,mixed_fear_noChat_give,mixed_fear_noChat_steal,mixed_fear_chat_avg_fitness,mixed_fear_chat_cat_avg_fitness,mixed_fear_chat_hCAB_avg_fitness,mixed_fear_chat_count,mixed_fear_chat_keep,mixed_fear_chat_give,mixed_fear_chat_steal
10,66.26599781826812,0.0,,,0.7785,0.155,0.0665,,,,,,,,42.28924481052408,2.220446049250313e-16,,,0.71825,0.206375,0.075375,,,,,,,,75.66607456266006,1.754152378907747e-14,,,0.258125,0.706125,0.03575,,,,,,,,,,,,,,,,,,,,,,126.07717586302262,4.163336342344337e-17,,,0.233125,0.751375,0.0155,120.00046603110486,0.292995482751332,,,0.43475,0.524375,0.040875,126.77250082814786,0.02674585019308,,,0.318875,0.640375,0.04075,123.14701456646334,2.775557561562891e-17,,,0.216625,0.74675,0.036625
11,67.89264118829807,0.0,,,0.787,0.15825,0.05475,,,,,,,,47.84308864214742,0.0,,,0.723625,0.19625,0.080125,,,,,,,,79.93445706034781,1.768030166715561e-14,,,0.269125,0.6935,0.037375,,,,,,,,,,,,,,,,,,,,,,129.83052074894738,4.163336342344337e-17,,,0.232375,0.751125,0.0165,120.9028940028316,0.23738969460145,,,0.425125,0.55525,0.019625,132.08650911797974,2.137179322403426e-15,,,0.310125,0.654125,0.03575,132.71492472139758,2.775557561562891e-17,,,0.205,0.7505,0.0445
12,68.53821369458993,0.0,,,0.792125,0.157125,0.05075,,,,,,,,50.472354322908025,0.0,,,0.738125,0.217625,0.04425,,,,,,,,93.13202330478086,0.008778733158532,,,0.28275,0.6885,0.02875,,,,,,,,,,,,,,,,,,,,,,146.82073137255537,5.551115123125783e-17,,,0.227875,0.7565,0.015625,130.52281948301984,0.338169723177827,,,0.417875,0.552625,0.0295,143.64306946787502,2.92821322744885e-15,,,0.29825,0.670125,0.031625,135.62927101396562,0.017134593073471,,,0.208375,0.7515,0.040125
13,69.05216257142193,1.387778780781445e-17,,,0.804875,0.139375,0.05575,,,,,,,,50.53501894306575,0.0,,,0.720625,0.22425,0.055125,,,,,,,,98.41843321809174,0.0013063047645900001,,,0.30425,0.677,0.01875,,,,,,,,,,,,,,,,,,,,,,158.46210621968035,0.004847827964518,,,0.243,0.74,0.017,142.18764604068176,4.440892098500626e-16,,,0.40875,0.561125,0.030125,159.8094896127315,0.0,,,0.300625,0.674125,0.02525,144.0550621461993,0.009961504472493,,,0.218125,0.740125,0.04175
14,71.09505099028527,0.0017856313422560002,,,0.816375,0.145125,0.0385,,,,,,,,51.42597649239853,1.110223024625156e-16,,,0.750625,0.209625,0.03975,,,,,,,,138.893696304086,4.135580766728708e-15,,,0.299,0.67925,0.02175,,,,,,,,,,,,,,,,,,,,,,165.4599100343033,0.028160644294010002,,,0.234,0.75675,0.00925,144.7009564775444,4.473327194981526,,,0.413875,0.5605,0.025625,160.91182827970806,1.387778780781445e-17,,,0.292375,0.6785,0.029125,150.0599517978724,0.0,,,0.23575,0.732625,0.031625
15,71.43811397067752,0.0032556392482700003,,,0.825875,0.1505,0.023625,,,,,,,,52.88853810148023,0.0,,,0.749125,0.204,0.046875,,,,,,,,142.724457381403,4.600038336450838,,,0.290875,0.686,0.023125,,,,,,,,,,,,,,,,,,,,,,170.49058754427435,0.35922679930580703,,,0.23375,0.751375,0.014875,148.9659471059299,2.243344628528742,,,0.41425,0.56025,0.0255,161.25480002641248,0.0,,,0.291375,0.66875,0.039875,160.77517288548023,0.0,,,0.232625,0.734,0.033375
16,73.711017245949,1.110223024625156e-16,,,0.83475,0.14475,0.0205,,,,,,,,54.31898748602875,2.016187453242096,,,0.7665,0.20775,0.02575,,,,,,,,146.46178458804894,8.326672684688674e-16,,,0.290125,0.688,0.021875,,,,,,,,,,,,,,,,,,,,,,183.59855505686,0.0,,,0.234375,0.7555,0.010125,149.83187175376074,0.036040507875123,,,0.391625,0.585875,0.0225,161.3812892854665,2.220446049250313e-16,,,0.29875,0.675125,0.026125,168.2911593861949,0.011537148757804,,,0.2375,0.727,0.0355
17,73.7516732505669,0.006999062187724001,,,0.845625,0.137375,0.017,,,,,,,,56.4918527595836,2.321561757682741,,,0.760125,0.20875,0.031125,,,,,,,,157.40831105601504,5.772093788470249,,,0.301875,0.688125,0.01,,,,,,,,,,,,,,,,,,,,,,184.27315949503935,0.0,,,0.2325,0.75225,0.01525,150.20137151977698,0.0,,,0.397125,0.588625,0.01425,170.0177328172058,1.110223024625156e-16,,,0.305625,0.66875,0.025625,170.134762006374,0.0,,,0.24375,0.724,0.03225
18,75.10341814219099,0.034511081372261006,,,0.837,0.148,0.015,,,,,,,,59.09694315474756,2.220446049250313e-16,,,0.764375,0.2115,0.024125,,,,,,,,161.66903689877773,1.484923295436146e-15,,,0.298,0.69575,0.00625,,,,,,,,,,,,,,,,,,,,,,184.41665363261816,0.053439227842007005,,,0.235875,0.754125,0.01,150.98635682025784,0.48000469421983605,,,0.403875,0.581375,0.01475,173.82480755793503,0.245421295371219,,,0.31175,0.661375,0.026875,183.1695994258537,1.110223024625156e-16,,,0.239875,0.72575,0.034375
19,75.48532153563372,0.0,,,0.842625,0.138375,0.019,,,,,,,,60.168503744525,5.551115123125783e-16,,,0.751625,0.22025,0.028125,,,,,,,,184.36382270737187,5.495603971894526e-15,,,0.305125,0.691875,0.003,,,,,,,,,,,,,,,,,,,,,,184.46923785936795,0.015782185237525,,,0.24475,0.744,0.01125,151.1708283271119,5.551115123125783e-17,,,0.408625,0.573625,0.01775,174.82449141355713,0.06274437104124901,,,0.311,0.65725,0.03175,190.2238280280237,0.0,,,0.242125,0.713875,0.044
